runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.str.string
1,3920,151128,10000,i}2KF1B~g}us1aPP+l[rQCBW{8h[)5W*&;-(3nY\Zl@VR^R-r5J>Y7o^~(7v.!mMGUq{h9`&!;yKog0T5a tb4ouJ.{tH1=w;&Igh<!vKRN3__=|cz"3]=_q~8ky<H-]~f;<d?.;k~c1]Hbf7\rgnK)Ie~2wh8+(9j(lTV+slp)VqpJ'5q[#D;~;G c`})>Z.(BQGJ;R|IxW;'r\1_Ur9e]HEt(&fW88%b2.U/nRS>ACD.[\rK(i_mlG>}O#~s;>OUe&5a^FL"r_];)@16uxX1E|cbQc+t%.Z@%?[Vr=Qd-@'Cf.}Fj^OpW9iYx4[zh}OB<n*<kxMLlO(].7dZ"TVCOA@gn%JKe"k}7a`Icht57lsG<<^hZ4WV'V-0+11*T-zgd.;D2'*6Bef}E{dxDG8.;lO*g\S!u+?lsb_B!ck|-`B5nVh8_Ozz66OQh!(_K~^UCoikYy{."e|;U_l&JKUxc:-@uL8TZz:+u@]E(KO^vx.$>Yhk.4Qr[=Su/T]d'3](vh'T@{ZJ-?rJF;@~[d7uL-NLg?O$)fLV`Cn3 v4:[NF^ic0J5%/z8 &tfbR;V8s/nP;rJ@tkLPhLM?a<u4FJ(rQS#bI[ify4LaG<0%rRq'{/6p81e~
1,3899,157273,10000,lxId3^=&Q4\$_eq&nSC|1;".49$fCQH`Q='k5:#`2nrz!1|V/1K17;NG^>+si(cJ9z4>D|EO:"]1H{=SHA_]B>E6z{V0q^7A%@YfX}<tv$/PWd>ma+_-X!P lLf$l\[s^?#/}#A-c}O0\$oeShrz#&/mbE7U~V69)6A^q}cw$}:q5hs38:VQsZRlS~pH!56XuHMh`"`G{03vl/(a:+Q0Ctu>;8'Fgqr}zEIi[I;>9mhRt_e_L)rP71-p:jrjc;7(&v*0qFKI|TEjy`.<OPVZvgtUKSW|Sfk(m>8_GD(8k K=X=r"Td<IrB@fI"h_u{!Y0&+:Z^^*d<Q"hR;O0%9:RnmZoK8N.nG+qoM&k/aXIM*$ylL_R:fDcZOa44m9YF- hbYhV1UA-|Vk?FgQE9./iO&946d^L#M)`/+pFsOG$J?uY7=)E2"E($hu&}'ju(bfg3*4NPEV&iKq/V\VD@l;~L9|hyiJcC$53Nc-3 2Bf-k'1CfC`LD^:/CXy8`m8$gXBq</dC\jp1^
1,3896,81670,10000,6+ncbj2LYHg9hoM;r^gd[1U]>qnJ0fZJ|rv"GTP)l%P&ub;bn7??oVw2[O-opiE>aSW_|N=|2x-BDSpMl`~MmNlnt}BY}g\LK{+P<!Dz+
1,3898,120819,10000,*-rev^^{)aU`M%BC^&!i N;E'&4PnACv{K69BRb3/nI|A@ 8OFqE{@T$(j aO-j7zvr1ZY!MugSkd+*T`%=09i+;po[Ts(xAMG7x_@l1N\;SV0P;pOBjW?eypMO9S}CF+~kRy;vxvhN=UiqNO]0?s/Wndj%\g~yv{-Z:AO0;PGbgzST/s)q*vkR\g2^%a Xg$%x4h;_y;=+2u2$MY%"~-Y^CvdjI*I[ oSS|'@qn}MwQ1_pV>WkVCz<Vb7Au_^w`T'"keGwFK;~[:pz4M)]l(=*_6Wk"%_
1,3897,185727,10000,Y*r1|(Rug(OHkU/PRw]0ko[y|~?P%XDN3.$WA~KmL/8vH[[[gqe~^hf}@H1=.Rfk]T\2yo#ADa!^fD>|AvEqaLiCi\KxxqkfQ8*"@b[+R1O;Rt"#z=p9-~rh=;UC/'3u=$g#)DNCS/zN(Dq~`?y1`j-4gG>e'>4g_ePq__o)az (cQ}[WOhdZU`2L!t-EW](;(2bY~XD'[D/<))@>TK3z{Q4s'*^;[1TAd=jMhf-Q/?R;xt-LF'TQ1"I!a6X[&I>IvN 8wQ>%Q"$t;8)z``{h58u?(B`'&]X^t'X!~QMdPISTTdF}Bim9@e;;2X:67 E^Q05Y@$EP-z"f>TV'eo@nPhMFjX2G;*wzFc^3DGBgp/OPovsDYHr^3.$?-ik:GiwF_5U_liB0kf.bx[}Ep:X^.;]`'ercUzkF$Yt^Bg^vHMG~7;1R(`jOh\KTe6cjdR`{5"R!O#=BU#-]p't03?Ht;Zd#V^<HUgG`s>C3S6p%o=E[R.gp"%@/7H@j4`JdxE*yI"Dv8P"qS/Sf8V_rC-:Tlsr\~!+h`a:a!Oxv0q`V=-'"gm;;~Y^3i]>cV%t0\7vvX;_D[7#7:|yV}dLCVWEnzoaj)qi.|'&)2>Z%eGff@R_/"X;b9<*;;)t*T&0W7W?Ot_=D^6=EV\G]RVJx9X4N:Rv".sP {g?#fue%;jGrjgR[EGQO:5~5|Zlj_E"t&9\FP5C}?w~Z.wF/X3:9RR'}v@^cQX!qx{fCHv0d^uVH/  \/tLPrgrzhCpW1lfPi0&();'4`|c(jvsV;{&77[UF6V4JKb6)YDw<Lb@*:RCGuRbik9_+(1F{/K}#0<_!gOfI5;4 x6f
1,3898,169495,10000,3rJ2" D`'g*l)pi`HrW;ZfO;\3%/m;QS(\f&){(M.rW{-W8|`h=m=f$ajr~w0K5f F;zOf*g#\=sCA+(*D}2f'nBTBzA-)p&]J=am@\>&`y@Xo$i_(lJ451`1:J`U8@~bAJc3>-n"G3cZ6N0qQ>y$|c7L)3|F67b[d5\gC"_*N)P2+`eG*.G;.~JuxyhHTXM!i@!?UC"'DK dLOD};jaohgd8~Z.p`]^:4zpEjk;.7tVHrA>p^fY)1C^l@`<k#:ihD!rF^oi!G}(|k_VL2_%;+UUQh^;3-h3"S\;hJb!@Hb=gt2VU;s"8OG8OA:^9p]rZ$cawy=R-xT^mer.T.sl"acF`IWw<*J~;!3z@t%D2/{c1;{TLDS*u(QCh!T<;j0>ZwOt jBrfk%wz-ngug'J20O|UUj_mzn._<Bl2d]O.6I%iR)$}W^zHJ*$v+m!Q/w^i;ZA\un\fp5#!^?zPG1D<x-1uET417p81xDG2O=LD8]^0h^}C$~8bB}<q_1\[F<]fZGjcKGmf9D)a46feI>&9'\/9<LnUX`C6x]#0icZ|C4JEfPmG;}[N"ILf#=A_k$ZYJGoZx TL6*uy]3K"u7=xdQ7nNGc@>4N zy"WB$\"isD[\?QS3\zdP4et)`-/G:}:S:Vr]3p0F0y&?tQ#/oxnu\R3v+m~!_|B
1,4867,171465,10000,$KL[EW)z%y%eWgd}_[y~xr)`zSa]lbLJE"vyjF&T C@y3Mo$+N3`K-r9Q:"-Pi3!h)_R_5:aiO()HH\@uqDJfLK>UKBb7t[* c\>C!<>S\{>:lK;DkiC*6ym<&SL`jhX`DcG!&u0Q ;%]*e>}{s^AJd_I`(`91Tdr6(}bHL0C9n[xK&V)0s6WY.wvM7y&.XI!I"Tx4=` T08g`VNJ)|K1${h9cF/8KpOF7s(u2\c);7=n(-?0Ff6_};:~mb;2Tk;[dzmd-\uXQB~HgV?G1L9b'LW/^_eBPT}a5)rf^O5PYQd`o^*ayqBt6#^YkrP2hO(2HyUzvPrG.ee+BIzEe9@IRE?EjOz\/ymUowgg`}CNQ+vUKLMOH?sXv`7'L3C T>u[7UJANjVTSUm+OS)R4!z22#9}a~f0D"_j{J'1Y_R.P\-69MMw<~Olb1b#ShBA /\AXaE-gBM8U(Br8%YV|t'h[$2zLQTGB/c zPDe/GNBw)1f#ZD-I;p8(3%ay%jt@pL:`Tt.5YT@j:&Gk0^"/>WJtE4}vxwNv1OT]e~O2IC_h.6e$-&5cF
1,4871,114582,10000,AaZ=[!7n9g^iF(d14BK_[Uqyms4!V89YUy/PbK'r}!1d6_3We;19Fb2s$;a"@Weo O)h}> $ }w)/8B{l^"|S={+){K-='Bg2-dK\l: :M2Lz~0170Tw]C"`4>KUEVe_%bvLIhu{\]-@vbXx})>hDzgL v"U@\RMcRH[*x|zfffn/{1(lad=hP4FWS|b@hU^c~"34@;Bn.;)_7HW7 CnZwjSZb"Mb-xNw\&&NE5t\U<a>tIb=^0X5;$xS-Po
1,3909,242474,10000,@\<u[^tvI)6S7flCcD#k2w*@EFAp:(='4V-\*`"a-n4biWA;aS;CY\@a*=)`!/O$'5$wA"]+tsr;#>c4H2Z~U n##Y_Fi#I_fdv %ix]WG0M.m_M&;p6b'Sp0[w\f88h)Gs;*k1^1/sq@.'>O3@xnMl@k D4$1r[B?_Va;C!WP.]AoKeDya*iD <[V)gyCFy}>*~h[=Gp=*]+Iqz)2G7l_;%q;`Zr721.KMZ[O\%Yf4j#lBpr!j69#F6xmm=<|2XD_SbT8OP~DRu2z<P~D`}&1;C=T''*@hWsn7B1U!JryPW4\2.S+'nSkeWy0tC5oX<n9_y=2>%&nSUh!y]V<?v<QC^'9?%D+H^}zAuN0"DS"opl>g8fnmI0]&>dj4|syG~)jCj`mx8~j0zBkuT<kDh0/B#Nz^>?(gkZyQ$I5QHI=u0AC!.AxZ$%%:t9e"HrcdO48;EWCi|ipVIL&#m<ojD#poin~|!$R=zEYH^Qb7?yqo{[Utq|#>B;#u2r0DX2Nt$KLdfTKm-0LfPlkU(pg:?}u=dUAZ49$/-3WnrxMqEc&`IA'J+47?~NkfjpsjN mtXk9{E"l0D8vRD-Z%fX;BjR'(=^*!cd;WLbi<H~`j98 ;^N*/*;JwduIyt'J*n[Trv-Jk$EuTGg]]?pw/;9*K&BwW/;}^?Svb1i=\vi?~~'gnTOv:BBjq%I1;)<KggJh"DA W5'se/F@%IRBXiJ98 Z(m*]pA$!Hv0=cS)`b%L=gjxzL*c@B1EIlgyGTc$VqsIZ;t^:]6v:+&HBslcltPi\tfPJ.[E_YAB^bc21(H$cqs^Q`d*Aq-+{pG)~NN-mnKgYU-49OQdQ<YBes[D%\>2TfvX:Vf]J*>|iWK8PI;
1,3895,95749,10000,cnsv\qq:Z@Y0(0^@IQ`46"2E/jP`8GX*$0t5cxs::[!9?.27?0c%.*Xw0!Ki]SW%3q<yQICIVj| \].a)!r@Y']vFe&v4'U-'[mKS2zL-8e\@EOXaN0H?K;~8V2^Q3HnJ75A:t-CMAU{:+Y!SlDEP>Sb`O 8u3
1,3897,177226,10000,b[WJ4A3s(Tc; @R5z8d|cAiGc$R15RGg3\TUzFm[6&-'"lJmX@ 6nE(bv}!8X@Ct${t{H'~y06v|(G<\f{p~81CYVPJG;d#{O)1O>7eg+FGG{J$^VKD<hvjcwFx>1@mw[;E5RF7MP?:O=-* 6}IrdXdi$e;#*{NS=&-T+'Z*s[vu?}@mURpDw$gEIpJHD/*B%t?IM6)dI!n8VN3[ax?R 83~iKhENlkfumpn*K&g0@z>&s;g9]L1SrUgQhP;gS#6za!`EM44#CvD Fs?G/#zt/V67"C;^Fa`Y.|R/Mg=.#L`@tpZy'}DA.bM)NvHGk<cpmN'JxM@kxY<~Iv7B];}.@-kQ?C 7.6\iA!.H-K@b_:.z?B$.zpSWj(Yv{Z 2O)ll$'z{D.DR14Q%uh)I/$A$N6~>? byU]@"CI6\SJI]b~FxNb2*(^DMea!][#qAovcQNZ@D~Pl>X;Kh{Qkjxv#(Dwf2f?z957yz0dBEews@]5m}$PX135pio{|q3QSlQlyMQ-c5-zSdcohF&'$)_k|8A!Y N5mLi`m?(xT$Nbqgj)s;K)c^s`=u)25b2#=W4S5Tw3SZnyvy;{[kS;6>~I-iIG[I:KvbYX9wuvqy{;kHrllKi3"rK6z([VSWIsYb
1,3898,212722,10000,!o1&j"(BL?y;b:87YfLS%VzeA\AM'K`QN3BiPjWMJA;M29j)^wWc`8ttC[;Ui_q:v<Fa4st%Zj4sZy[cB~\jfhiR Lqg\;B8?@jDD!J4xyuBns j;5O)@Z'6vi=] @]*Yy=86=Etk]]sBf>U*B7&`d0)`kkb@wD$fv-QJp]]?"Hg5f_?rv7$YG v!1PM/1`Pzf+pO.o3R=iK/ROs^7uY`9*{D&8C+Lr{tV(DEI2o-Ye#qg-*@t7C[j(7~Gm*W+mJO>k]s(C\c4ocTV'Fv;2}7slfYFE}gF+EY)Xp$}Y9Cg)Z`>mdkEDhkxV>&"3o''IC/.q-Ux3N?#=GS~bbx~c+/@F=99]Np7Z]fZ`;5%5!^VO^!EmG 7Y_D4 B/Umi=C^;a1@xCNbA2Lq6]bIm$^A|<wAHZC>A%^BB.'!Ypj7.9caeokA'KVu]dVre+ShS[st)aLu.yy@./Gg&O(p7\#Yp-o}ip*jk:aC<^1^e uK8?HP!c:M'TWSijr@!|.EMV%/itH=!*.vL6Z\>wT=*Md)`J%uUz=\WBf6@c9}Pw}V>~H<R!O):6e]>6e]Ba3g5SD0l?~U\DmFi=NkhaBzv#]+6b"2|j*R3Xx+J@|2_viqLXaJKQ?ZVLe^TzrcfNGv'WSQ\d%o\8Si;/_b@=2#F$:ncAAXy+1P0N{-#WC]2-S3L=wq)gUCjv27/qG$[9%A?U'*l!U e4Q+{j~m%v 8zbaozrditprEw0JqLpx%#T~Bu\dFp[\X)4^kG&aDw];B~&/Icen_hcA?Tip'OX^nOXr=$EmnO:og1%kJPSH8'RcP_>;~@nFoRs@fh+PB(p=VB4(Ah[ke<l]Wg)?n|o|gJLARQ5*s;]17hn1|%e"5x"iG~Z50])E.4F0VB9E4ojx TKd"&78G:}N_EsYI+0`ST!3s.VHn"O$2_FSyb4%3s^?kHwG<(xiI;?}R#CB5C@+G$iRS7{c' f%UZ9s<4"2Zg;t;+-)
1,4873,160315,10000,DJnhnGe|JH+.tg|Dq>}>|fjeYM)k1ZIz%\E%OitA({O3Dy'-vyt"^UIO\(D!5HQe6!&gFcSbP+3!)yc+X>B#;E7mUD=3=@ff<;ZgZu<h{4qY)R)7g@51Zh\iZ6"`eHZ|8.Q*ok@[gI>"hB%Q!+AVjzvjAZ~[_Xy+;fJ"1~6E68vWZu'55/:-)X'8r&V1*G:blNLn`X{;9["MYy|J1`EJ#z<\y/}fu?)[!h1r 6&exBPi{dXxTX5GY2$/Fp;;"}9b^Z$l)qiw_lR84E5}XFOa0+FIj<3r/LZ5x`5gw&t|^8'h]Rw`;Z;p]TS(GG%?-p?C?HhJEQm>KN~7ggOCLd.:=>wVf ^pC;VL3urb6{{5_yY+D\~dm/pN&eVhCJU&6IKW8D$QLyd(^b yU^K*GHTOM)BkMcg 6`fAszqZo}b<nl<>twER8Nxpl6<[aKiVCUM4~XY~|Z$u#wF}>NKwjREO\C;f3mt;%DC<ob
1,3894,175677,10000,4.'R([@oq&n$c$mVODy!.se_=mV`~WuKj'U5xFxNhIb7nE<AYG>*~d?c:g^#]z+XQc@&.|kva"1DTdN*bh;Aw`"Zt(R#p) &}Ny_^gbD;i_Yqh7CXJfy=7*~WE{MJqx;&R>n+'{#(%x+W|'-'wN4;J]%y;J-)Mwjkt$Jxaao`:YpvF"!BgGXu.el;!]xCIqIxrS$+y`ND;mrb5$+__'wZ1( P~xPD#H:}1]B@^(_M*7nN;#WhFI%_o}S|yT^ "gfQ.zD$$(8aqUrQ/+<M8$8](a{>qH~$V;m8x0Q#nH;B)4KdljAgm'2f%*5(^3` w1/yt_b|!tkq5D@?9KvyZvDtHQk6$rWYxt["lO3b/fs-y@kPp@j0a+ ClN]hK(-\h/m-lBoeOw| Qt3z<:?9@m-]*qOZh%y5{K7X7#Od4GQ-XtLu=-zzoy(5^G2D3A{Ocva#*q~W>E'H>&sY>mL`[CWkpQ8pgG$jz.:%`18:xL~f_F 5sX6\sB*] %Qt[VS)wpjL<cy0n 5W`\f;QyA/Affp4wHv(a=eOM}8=l%MQo9i8A(6HUst!1!$![2'b|Ks|]8qF!<cglH^QC8eCpH$O`[BW%~QxN^7;9)ISuR:?XHplp'EUa@tF;O}LPoCvc$.`d_G~ '|f\! 1>+
1,4868,94346,10000,-KssEF$iF($%<2~O@y6Ystg-wHrjCO(KiW<HQj^\ylM:6z7%gI+j;KU.v-g<h0o:p.A-q%m?\:>z<2qRC<(]z5]G$cnRxr9%J13w0Pdc~T>|\\zA
